ACRES,,BOROUGH,ZIPCODE
0.292,,Q,11367
0.06,,B,11233
0.231,,B,11217
0.037,,X,10457
0.07,,Q,11436
0.051,,M,10027
0.1,,Q,11412
0.321,,Q,11691
2.448,,B,11222
0.054,,M,10009
70.6,,R,10303
0.091,,B,11224
0.657,,B,11233
0.057,,Q,11101
0.038,,B,11207
0.053,,B,11211
0.382,,M,10011
0.058,,B,11238
0.041,,B,11207
30.395,,X,10474
0.033,,M,10027
0.063,,B,11222
0.069,,B,11213
0.103,,B,11212
0.114,,B,11206
0.123,,B,11206
0.121,,B,11233
0.065,,B,11233
0.104,,B,11221
0.137,,B,11221
0.091,,B,11210
0.052,,B,11215
0.086,,B,11208
0.098,,X,10459
0.045,,B,11213
0.136,,X,11207
0.061,,M,10002
0.057,,M,10030
0.068,,M,10030
0.115,,M,10026
0.117,,B,11212
0.06,,B,11212
0.11,,B,11207
0.172,,B,11212
0.687,,B,11224
0.181,,B,11233
0.032,,B,11231
0.083,,B,11231
0.082,,B,11208
0.179,,X,10451
0.23,,M,10011
0.656,,M,10032
1.243,,B,11224
0.009,,B,11220
2.096,,Q,11692
0.047,,B,11201
0.83,,X,10459
0.322,,X,10472
0.412,,X,10458
1.578,,X,10460
0.637,,X,"10463, 10468"
2.37,,X,10451
0.477,,X,10456
3.466,,R,10304
0.224,,M,10009
1.29985643,,Q,11435
0.619,,Q,11367
2.939,,Q,11411
1.699,,Q,11374
1.314,,Q,11421
1.7,,M,10025
1.004,,B,11206
0.933,,B,11224
1.157,,B,11214
1.9,,B,11212
0.682,,B,11208
0.694,,B,11207
1.5,,B,11201
145.935,,R,10312
91.086,,R,10309
2.65,,R,10312
36.691,,R,10312
23.01,,R,10308
0.53,,X,10464
0.043,,M,10026
0.104,,M,10035
1.15,,Q,11385
2.456,,Q,11433
7.782,,M,10002
0.494,,Q,11417
1.032,,B,11206
1.052,,Q,11417
1.104,,X,10470
166.71,,Q,11694
0.009,,Q,11420
0.073,,M,10027
0.901,,Q,11435
0.009,,X,10468
0.424,,R,10301
1.001,,X,10451
0.918,,B,11212
0.231,,M,10024
0.03,,Q,11373
0.041,,B,11233
0.183,,X,10457
0.039,,B,11206
0.172,,B,11207
0.29,,M,10037
15,,X,10457
0.82,,X,10451
2.5,,X,10457
6.234,,M,10010
0.636,,X,10451
0.205,,Q,11368
0.376,,M,10002
0.131,,X,10460
0.058,,B,11233
15.049,,X,10452
1.88,,X,10452
0.206,,R,10304
0.718,,M,10003
0.344,,X,10454
0.367,,X,10454
0.76,,X,10454
0.28,,R,10305
0.159,,R,10301
1.394,,X,10454
1.093,,M,10017
0.42,,M,10012
1.254,,M,10002
0.12,,M,10009
0.054,,R,10309
0.052,,M,10035
0.828,,M,10009
7.85,,M,10002
9.603,,M,10018
0.918,,B,11212
0.137,,B,11207
0.058,,B,11215
0.136,,X,10464
0.84,,X,10472
0.977,,X,10456
0.015,,B,11204
38.536,,X,10457
1.32,,X,10467
1.43,,Q,11692
2.181,,X,10461
1.646,,X,"10463, 10463"
0.55,,X,"10453, 10457"
0.743,,X,10453
1.24,,M,10031
2.58,,X,10463
1.682,,X,"10452, 10457"
0.882,,M,10010
77.044,,B,"11236, 11239"
3.809,,Q,11691
17,,Q,"11360, 11361"
1.593,,M,10016
21.039,,B,11224
2.064,,B,"11207, 11233"
1.816,,B,11231
760.79,,R,"10306, 10314"
0.711,,B,11215
3.557,,B,11210
3.575,,B,11224
8.75,,X,10460
1.144,,X,10459
0.68,,X,10460
0.764,,X,10452
1.711,,B,11215
4.32,,B,11215
0.051,,B,11229
0.171,,M,10030
4.465,,R,10303
1,,M,10029
0.83,,Q,11694
12.624,,Q,11694
0.9,,Q,11432
0.008,,Q,11378
1.38,,B,11224
7.819,,B,11216
0.117,,M,10005
0.351,,M,10035
0.267,,M,10035
0.993,,Q,11692
0.622,,M,10065
0.028,,B,11233
1.369,,M,10035
0.203,,M,10037
0.15,,M,"10012, 10013"
0.16,,X,10455
0.22,,X,10451
0.16,,X,10453
0.09,,X,10472
0.005,,Q,11418
0.052,,B,11223
0.019,,B,11209
0.525,,M,10009
0.44,,M,10038
0.245,,M,10002
0.991,,M,10037
0.156,,M,10003
4.966,,Q,11420
0.315,,Q,11420
9.749,,M,10011
0.031,,X,10452
0.156,,M,10034
8.005,,X,10464
0.135,,X,10463
0.1,,X,10473
1.072,,B,11223
0.483,,M,10002
0.03,,M,10026
0.347,,M,10035
0.688,,M,10030
0.14,,M,10027
0.322,,B,11210
0.004,,B,"11209, 11228"
0.004,,B,11209
0.004,,B,11209
0.256,,B,11209
0.667,,B,11234
1.24,,B,11221
0.504,,B,11222
0.489,,B,11201
0.588,,M,10022
0.947,,B,11201
0.04,,B,11201
23.958,,Q,11692
0.108,,B,11201
0.102,,B,11211
0.002,,B,11215
0.442,,B,11215
0.281,,B,11215
4.35,,M,10128
42.941,,B,11235
0.033,,R,10314
0.45,,R,10301
0.11,,B,11229
0.446,,M,10012
0.061,,B,11212
0.033,,B,11216
0.258,,B,11223
0.93,,B,11218
0.068,,B,11201
1.201,,Q,11416
20.863,,Q,11101
0.036,,B,11211
0.067,,B,11211
0.064,,B,11211
0.183,,B,11211
0.206,,B,11211
1.227,,M,"10029, 10128"
0.642,,M,10003
0.02,,B,11211
0.017,,X,10465
0.06,,X,10471
0.11,,X,"10463, 10468"
0.12,,X,10453
1.253,,B,11205
0.037,,M,10009
0.186,,X,10460
0.529,,X,10455
0.247,,M,10014
0.039,,M,10014
0.728,,M,10004
0.342,,M,10038
0.22,,Q,11101
0.009,,Q,11368
1.415,,Q,11375
0.028,,Q,11379
0.476,,Q,11367
11.414,,X,"10451, 10452"
0.403,,M,10009
0.916,,R,10306
0.092,,M,10033
0.066,,M,10023
0.014,,M,10003
0.039,,M,10014
0.206,,M,10012
0.056,,M,10012
0.763,,M,10003
0.135,,M,10002
0.185,,B,11221
0.12,,M,10002
1.13,,B,11232
0.25,,M,10038
0.669,,M,10013
0.402,,X,10455
8.834,,X,10473
9.187,,R,10303
0.85,,R,10303
0.39,,R,10303
0.222,,M,10014
1.79,,X,"10463, 10471"
0.284,,X,10471
7.84,,X,10463
0.258,,X,10453
6.6,,X,10463
1.054,,X,10453
1.375,,X,10455
0.022,,X,10456
0.104,,B,11211
0.095,,M,10009
0.046,,M,10009
0.231,,Q,11691
0.286,,X,10452
2.592,,M,"10001, 10018"
0.222,,M,10032
897.69,,Q,"11354, 11355, 11367, 11368"
8.972,,X,10463
0.436,,X,10463
0.165,,M,10003
0.186,,M,10014
3.02,,X,"10463, 10468"
0.074,,M,10026
0.1,,M,10032
0.35,,X,10463
0.088,,X,10463
4.359,,X,10468
0.142,,M,10023
0.667,,X,10468
3.9,,X,10468
0.04,,X,10468
0.137,,B,11211
0.195,,B,11211
0.187,,X,10463
0.004,,B,11221
0.5,,X,10463
0.5,,X,10463
0.094,,M,10002
0.181,,B,11211
1.597,,X,10469
1.59,,X,10469
0.027,,X,10452
0.21,,X,10457
0.15,,X,10452
0.15,,X,10457
0.141,,X,10457
0.037,,X,10453
0.037,,X,10453
0.213,,X,10452
0.032,,X,10457
0.029,,X,10452
4.385,,X,10457
0.024,,X,10467
0.29,,Q,11106
1.294,,M,10002
2.752,,M,10035
0.451,,M,10002
1.904,,X,10461
0.653,,M,10037
0.167,,X,10452
4.926,,X,10468
0.36,,X,10452
0.041,,X,10452
1,,X,10452
0.17,,X,10453
0.006,,Q,11378
0.267,,X,10453
1.8,,X,10453
0.229,,X,10452
0.115,,M,10013
0.108,,M,10031
1.89,,M,10040
0.013,,X,10456
1.148,,B,11225
0.475,,M,10036
0.684,,M,10029
1.225,,B,11235
0.043,,M,10025
0.02,,M,10035
0.172,,B,1
334.502,,R,10306
140,,B,"11218, 11223, 11224, 11230, 11235"
2.476,,R,10314
0.96,,R,10310
0.295,,M,10022
0.762,,B,11222
0.752,,B,11211
0.11,,M,10029
0.023,,M,10009
0.882,,M,10039
0.977,,X,10456
0.117,,X,10452
22.809,,Q,11101
0.023,,M,10009
0.1,,X,10457
6.282,,X,"10459, 10472"
16.831,,Q,11357
8.807,,B,11224
0.087,,M,10026
0.13,,X,10457
0.11,,M,10030
0.1,,X,10457
0.34,,M,10031
7.49,,X,10465
0.227,,M,10014
0.68,,X,10460
0.712,,X,10455
10.01,,B,11224
0.138,,B,11212
0.108,,Q,11375
0.13,,X,10473
0.11,,X,10460
2.136,,X,10460
0.17,,X,10456
0.19,,X,10452
109.609,,Q,11434
2.944,,X,10452
15.524,,R,"10304, 10305"
1.395,,X,10467
108.91,,X,"10458, 10460, 10461, 10462, 10467, 10469"
1.236,,B,11232
0.736,,B,11220
0.133,,B,11207
11.689,,X,"10463, 10471"
3.4,,Q,11426
0.004,,B,11217
0.031,,B,
0.006,,B,11219
0.649,,B,11219
286.557,,R,"10307, 10309"
1.534,,R,10305
0.892,,R,10305
1.326,,X,10454
1.987,,B,11233
0.227,,X,10472
1.635,,M,10039
2.445,,M,10039
0.26,,X,10472
8.25,,B,11228
0.04,,M,10029
101.28,,Q,"11207, 11208, 11385"
10.735,,X,10475
0.072,,M,10003
0.918,,B,11207
45.059,,B,"11207, 11208, 11385"
0.345,,M,10022
0.341,,X,10460
20.867,,X,10471
214.947,,R,10314
42.6,,R,10309
0.318,,Q,11691
0.488,,X,10456
3.233,,M,10013
1.32,,B,11233
0.086,,M,10031
0.117,,M,10009
0.478,,M,10009
0.129,,M,10027
0.141,,B,11224
0.361,,M,10011
840.01,,M,"10023, 10024, 10025"
12.772,,M,10039
3.9,,M,10001
1.8,,M,10033
1.803,,Q,11432
0.052,,B,11207
0.198,,B,11207
0.3,,B,11207
0.12,,X,10470
0.25,,M,10030
0.171,,M,10027
0.39,,M,10009
0.248,,B,11207
4.623,,M,"10021, 10022, 10028, 10029, 10065, 10075, 10128"
2.198,,M,"10031, 10032"
46.657,,M,"10032, 10033, 10034, 10037, 10039, 10040, 10451"
229.14,,X,"10461, 10462, 10465, 10469, 10475"
2771.747,,X,"10461, 10464, 10464, 10465, 10469, 10475, 10803"
0.24,,M,10029
0.1,,M,10038
0.603,,M,10035
21.377,,B,"11201, 11201, 11201, 11201, 11201"
0.008,,B,11235
0.017,,B,11233
0.134,,M,10031
0.04,,M,10023
0.576,,M,10036
1.5,,M,10009
0.73,,M,10009
0.402,,M,10024
3.083,,B,11211
50.436,,Q,"11208, 11414"
6.235,,B,11222
0.55,,Q,"11368, 11372"
54.963,,B,"11208, 11414"
6.73,,M,"10001, 10011, 10014"
326.895,,Q,"11003, 11357, 11359, 11360, 11361, 11362, 11364, 1"
4.637,,X,10468
0.275,,X,10463
0.329,,X,10463
0.517,,B,11221
0.076,,M,10037
0.029,,M,10009
0.109,,M,10025
0.573,,M,10031
2.331,,X,10458
8.595,,M,"10028, 10029, 10035, 10128"
72.75,,Q,"11207, 11375, 11385, 11415"
635.514,,Q,"11361, 11362, 11363, 11364, 11426"
0.052,,M,10027
5.84399754,,Q,"11102, 11106"
5.754,,M,"10023, 10024, 10025"
0.058,,M,10035
0.046,,M,10027
5.756,,M,10035
1.45,,X,10454
0.15,,M,10009
0.061,,M,10009
170.7,,M,10035
104.545,,R,10309
4.339,,R,10302
0.356,,M,10029
1.993,,Q,11370
0.574,,Q,11372
254.3,,M,10035
0.249,,M,10009
1.94,,Q,11429
0.432,,X,10459
1.44,,X,10456
27.531,,Q,11426
44.295,,Q,11363
0.351,,X,10459
0.743,,X,10459
2.65,,B,11222
6.611,,B,11222
111.163,,Q,"11559, 11422"
107.514,,R,10314
3.04,,Q,11691
8.09,,Q,11106
94.1,,R,"10304, 10306"
14.257,,B,"11215, 11217, 11238"
202.647,,Q,"11413, 11414, 11420, 11430, 11434"
258.72,,R,10308
350.983,,R,"10301, 10304, 10306, 10309, 10312, 10314"
4.605,,R,10304
800,,B,"11229, 11234, 11235"
399.473,,B,"11224, 11235"
15.368,,R,10314
0.73,,B,"11210, 11230"
2.69,,Q,11360
58.503,,B,11231
26.257,,B,11224
0.084,,M,10027
0.8,,B,11230
160.415,,Q,"11004, 11005, 11362, 11364, 11367, 11423, 11426, 1"
233.073,,Q,"11103, 11367, 11368, 11369, 11370, 11371, 11375"
1.679,,M,"10026, 10027, 10030, 10039"
1.139,,M,10032
0.06,,B,11226
196.398,,M,"10033, 10034"
77.181,,B,11234
4.096,,R,10304
17.5,,B,11214
1.65,,B,11220
2.066,,Q,11364
0.659,,Q,11356
26.83,,Q,"11354, 11356"
1.836,,B,11207
1.2,,Q,11436
2.291,,B,11234
59.612,,Q,"11003, 11580, 11411, 11422"
253.168,,M,"10023, 10024, 10025"
953.065,,R,"10312, 10314"
10.79,,Q,11433
40.16,,Q,11691
1.22,,B,11235
0.155,,B,11235
0.15,,X,10458
1.681,,R,10306
498.154,,Q,"11691, 11692"
0.241,,Q,"11372, 11373"
37.064,,R,"10309, 10314"
13.469,,R,10314
24.498,,B,11232
2.412,,Q,11374
0.267,,M,10003
0.55,,M,10009
0.186,,M,10035
0.146,,M,10027
0.383,,M,10035
16.8,,B,"11219, 11220"
2.872,,Q,11423
45.88,,M,10002
35.533,,B,11211
1.3,,M,"10025, 10027"
9.404,,Q,"11691, 11692, 11693, 11694"
3.253,,B,11233
0.137,,Q,11417
0.163,,M,10035
13.543,,Q,11417
10.761,,Q,11414
14.938,,M,10028
44.733,,R,10314
2.056,,R,10314
0.057,,M,10027
23.093,,M,"10031, 10032"
0.145,,Q,11413
1.187,,B,11217
1.352,,R,10310
1.285,,X,10461
0.294,,Q,11433
358,,Q,"11364, 11423, 11427"
0.896,,B,11222
4.3,,M,10002
0.191,,B,11207
1.934,,B,11201
0.348,,Q,11370
0.249,,Q,11370
1.607,,Q,11370
6.336,,Q,11436
0.134,,M,10013
1.226,,Q,11102
0.46,,Q,11102
0.46,,Q,11102
0.46,,Q,11102
6.3,,B,11201
0.452,,Q,11368
0.229,,Q,11693
216.655,,B,"11209, 11228"
9.16,,Q,11432
3.928,,M,10003
0.069,,Q,11369
8.565,,B,11209
6.51,,M,10003
644.35,,R,"10305, 10306"
1.745,,Q,11375
0.385,,M,10001
0.563,,M,10009
1.285,,M,10029
3.622,,Q,11102
59.956,,Q,11105
1.7,,B,11211
6.28,,Q,11106
0.14,,B,11212
6.489,,R,10301
3.876,,X,10463
10.555,,B,11212
26.532,,R,10301
11.57,,X,10451
255.4,,Q,"11691, 11692"
68.017,,X,10473
14.872,,X,10473
1.486,,B,11222
3.258,,Q,11417
0.345,,X,10452
2.29,,B,11207
0.489,,M,10011
0.477,,M,10014
0.6,,M,10001
0.043,,M,10038
2.095,,Q,11417
0.66,,M,10027
0.205,,B,11218
4.647,,R,10314
20.132,,M,10034
0.115,,X,10468
0.025,,Q,11377
0.001,,Q,11373
3.77,,R,10314
0.139,,B,11236
0.34,,X,10474
2.964,,B,11214
0.23,,B,11212
0.049,,B,11207
1.035,,Q,10021
7.738,,X,10459
0.911,,X,10458
0.28,,X,10453
0.964,,B,11210
0.19,,X,10456
1.13,,X,10473
1.53,,R,10312
9.375,,Q,11693
0.045,,M,10032
0.323,,Q,11373
0.102,,X,10473
0.3,,Q,11363
28.87,,Q,11356
0.05,,Q,11356
0.207,,X,10453
21.88,,M,"10004, 10280"
0.209,,Q,11365
54.1,,X,"10463, 10471"
0.059,,Q,11357
0.09,,B,11201
2.554,,Q,11429
0.23,,B,11236
2.356,,R,10301
0.294,,X,10452
0.038,,M,10030
0.381,,X,10452
0.067,,M,10027
1.278,,B,11207
198.481,,R,"10302, 10303, 10306, 10314"
3.169,,B,11220
506.86,,Q,"11375, 11385, 11415, 11421"
130.1,,M,"10032, 10033, 10039, 10040, 10452"
3.4,,X,10475
0.318,,Q,11101
1.976,,B,11201
34.689,,R,10303
760.43,,B,"11208, 11209, 11214, 11223, 11228, 11234, 11235, 1"
9.2,,R,10301
3.214,,B,11223
58,,B,"11209, 11220"
5.593,,Q,11420
107.576,,R,10303
718.373,,X,"10458, 10460, 10462, 10467"
17.256,,X,"10459, 10472"
1.239,,M,10022
6.02,,B,11209
193.423,,R,"10301, 10310"
2.76,,R,10312
31.5,,Q,11694
0.345,,B,11231
1.26,,X,10461
376.2,,Q,"11692, 11693, 11694"
0.224,,M,10003
1.31,,B,11224
0.101,,Q,11363
1.774,,B,11233
80.936,,X,"10458, 10467"
1.793,,X,10455
1.285,,Q,11692
1.264,,X,10452
0.068,,B,
0.475,,B,11233
3.351,,X,10474
1.93,,B,11211
19.749,,X,10467
0.455,,X,10467
0.806,,X,10468
15.32,,X,10468
2.6,,Q,11354
