ACRES,,BOROUGH,ZIPCODE
44.174,,X,"10451, 10452"
1.13,,B,11203
0.457,,Q,11375
5.278,,R,10310
0.123,,M,10033
11.422,,Q,11356
0.582,,Q,11103
0.925,,Q,11102
0.786,,Q,11106
0.91,,Q,11360
1.967,,Q,11385
0.686,,Q,11358
1.889,,Q,11691
3.814,,Q,11432
1.553,,Q,11357
1.21,,Q,11694
1.206,,Q,11361
1.318,,Q,11416
1.48,,Q,11375
1.145,,Q,11357
1.206,,Q,11355
1.304,,Q,11374
0.942,,Q,11434
1.071,,Q,11434
1.144,,Q,11694
0.935,,Q,11414
0.821,,Q,11354
0.878,,Q,11414
0.974,,Q,11691
1.045,,Q,11413
0.98,,Q,11412
1.146,,Q,11411
1.076,,Q,11433
1.166,,Q,11364
2.719,,Q,"11426, 11427"
0.749,,Q,11366
1.239,,Q,11691
1.526,,Q,11375
2.003,,Q,11413
0.996,,Q,11426
1.033,,Q,11102
2.243,,Q,11367
1.307,,R,10310
7.671,,Q,11354
1.416,,B,11236
0.851,,M,10002
0.809,,Q,11427
1.013,,Q,11375
1.35,,Q,11004
1.48,,Q,11364
0.759,,Q,11363
1.964,,Q,11364
104.6,,Q,11362
3.673,,Q,11362
2.552,,Q,11361
1.16,,Q,11004
3.757,,Q,11365
1.14,,Q,11356
2.948,,Q,11004
11.788,,Q,11354
237.147,,Q,11365
0.551,,Q,11354
1.439,,Q,11357
0.581,,Q,11432
1.025,,Q,11422
0.091,,B,11207
0.092,,B,11208
0.062,,B,11233
0.083,,B,11233
0.219,,B,11212
0.546,,B,11207
0.09,,B,11208
0.043,,B,11205
0.058,,B,11221
0.275,,B,11207
0.165,,B,11206
0.189,,B,11233
0.116,,B,11233
0.191,,B,11236
0.114,,X,10460
0.211,,B,11233
0.039,,B,11221
0.057,,B,11221
0.046,,B,11207
0.152,,B,11206
0.081,,B,11208
0.183,,B,11207
0.172,,B,11208
0.123,,B,11211
0.104,,B,11206
0.119,,B,11207
0.28,,B,11208
0.08,,B,11216
0.165,,B,11221
0.065,,B,11225
0.068,,B,11238
0.057,,B,11207
0.036,,B,11207
0.145,,B,11233
0.081,,B,11216
0.046,,B,11216
0.114,,B,11208
0.032,,B,11207
0.107,,B,11207
0.13,,B,11221
0.154,,B,11233
0.061,,B,11207
0.23,,B,11212
0.097,,B,11208
0.161,,B,11207
0.149,,B,11216
0.16,,B,11207
0.091,,B,11208
0.165,,B,11216
0.129,,B,11207
0.321,,B,11207
0.206,,B,11207
0.114,,B,11206
0.137,,B,11211
1.4,,X,10461
1.17,,B,11211
9.134,,B,11222
10.384,,B,11201
3.214,,B,11235
0.865,,B,11207
1.821,,B,11205
0.871,,B,11228
0.913,,B,11220
0.554,,B,11215
8.271,,B,11231
1.447,,B,11229
3.449,,B,11229
2.618,,X,10473
0.123,,M,10026
7.047,,B,11213
1.502,,Q,11370
2.027,,Q,11104
1.31,,Q,11105
1.13,,Q,11691
0.207,,Q,11106
1.05,,Q,11104
0.912,,R,10309
0.574,,Q,11385
3.076,,Q,11368
11.5,,Q,11432
1.297,,Q,11364
0.626,,Q,11373
0.005,,B,11222
0.366,,M,10013
0.437,,B,11214
0.367,,B,11231
0.039,,B,11206
3.03,,B,11215
3.214,,B,11233
0.214,,B,11201
0.476,,B,11214
4.044,,B,11206
0.293,,B,11225
1.359,,X,10457
0.511,,X,10457
0.046,,X,10457
0.083,,X,10460
0.03,,X,10460
6.219,,Q,11373
127.5,,X,"10456, 10457, 10460"
0.023,,X,10460
0.47,,X,10460
0.759,,X,10457
0.592,,X,10457
0.897,,X,10457
0.051,,M,10023
0.14,,X,10472
0.138,,X,10472
0.191,,X,10460
0.442,,X,10462
0.52,,X,10462
0.918,,X,"10460, 10462"
0.461,,X,10462
0.977,,X,10460
0.94,,X,10456
0.1,,X,10456
1.754,,Q,11370
2.15,,M,10013
2.799,,B,11208
3.333,,R,10306
0.12,,X,10456
0.272,,X,10459
0.016,,X,10459
0.12,,X,10456
0.06,,X,10456
0.12,,X,10456
2.21,,R,10301
1.34,,M,10030
0.837,,M,10025
0.054,,X,10451
0.383,,X,10456
0.2,,X,10459
1.322,,X,10459
0.17,,X,10459
0.732,,X,10451
0.913,,X,10455
0.032,,X,10459
0.017,,X,10457
4,,X,10461
2.057,,R,10301
0.006,,X,"10472, 10473"
1.871,,X,10472
0.28,,B,11215
0.046,,M,10039
1.473,,Q,11370
2.32,,M,10002
0.255,,X,10451
1.186,,X,10455
1.05,,X,10454
0.008,,B,11220
0.002,,B,11220
2.067,,M,10027
0.076,,M,10036
1.38,,M,10032
1.95,,X,10454
0.375,,X,10455
0.027,,X,10460
0.023,,X,10460
0.696,,X,10451
0.126,,X,10451
0.401,,X,10454
0.92,,X,10454
0.38,,X,10467
5.165,,R,10306
35.771,,X,10466
2.537,,X,10466
4.712,,M,"10024, 10027"
9.395,,X,10465
1,,X,10472
1.984,,M,"10022, 10065"
0.789,,M,10035
0.994,,M,10013
0.834,,M,10035
0.722,,X,10454
0.85,,M,10022
39.5,,B,11226
0.268,,M,10022
16.93,,R,10301
0.034,,M,10128
0.08,,M,10032
0.075,,M,10012
0.192,,M,10003
0.618,,Q,11692
53.298,,Q,11692
4.863,,Q,11691
19.693,,Q,11692
0.034,,M,10009
0.002,,B,11209
0.001,,Q,11378
0.187,,M,10038
0.126,,Q,11378
0.005,,Q,11378
0.185,,Q,11378
0.158,,Q,11378
0.006,,Q,11377
0.002,,Q,11373
0.118,,Q,11377
0.047,,Q,11373
0.07,,Q,11378
0.17,,Q,11378
0.09,,Q,11378
0.004,,Q,11378
0.005,,Q,11378
21.10936646,,X,10021
1.47,,Q,11378
0.074,,Q,11378
1.978,,Q,11373
1.633,,Q,11373
1.623,,X,10469
1.025,,X,10469
0.974,,X,10467
0.068,,B,11208
0.817,,X,10467
16.439,,Q,11434
1.02,,X,10462
0.008,,X,10465
0.172,,M,10039
3.567,,M,"10033, 10040"
2.13,,M,10035
0.357,,B,11211
0.188,,M,10035
1.494,,M,10032
0.133,,X,10461
0.659,,X,10461
0.006,,B,11220
0.019,,B,11216
0.067,,B,11211
0.436,,B,11206
0.045,,B,11211
3.306,,X,10468
22.07,,X,10465
0.43,,X,10456
0.054,,M,10009
0.069,,M,10002
0.091,,B,11205
0.066,,B,11211
0.248,,X,10451
1.056,,Q,11364
0.038,,M,10027
1.363,,B,11201
0.039,,B,11216
0.057,,B,11206
0.052,,B,11238
0.122,,M,10019
0.101,,B,11207
0.116,,X,10451
0.249,,B,11212
0.082,,M,10035
0.164,,B,11207
4.525,,B,11231
0.055,,M,10014
3.735,,Q,11368
0.069,,Q,11691
9.04,,B,11213
0.073,,B,11213
0.101,,M,10035
2.524,,Q,11101
4.353,,Q,11419
1.274,,X,10463
55.639,,Q,11379
